"Titulo	Slug	Fecha	Predicador	Pasajes biblicos	Descripcion	Tipo_reunion	Url_youtube",
"El gozo, fruto del Espíritu en mi diario vivir.		31/5/2026	Pastor Luis Guerrero	Santiago 1:2-4		CULTO_DOMINICAL	https://www.youtube.com/live/I6FWnqvJESE?si=Ljka7wETsHgqUyo_",
"¿Vivo entorno a mí, o entorno a Cristo?		6/6/2026	Pastor Luis Guerrero	Colosenses 1:16-17		CULTO_JUVENIL	https://www.youtube.com/live/n8bLIu_meks?si=mk0LE_Z-oRtd-20W",
"				Juan 1:1			",
"7 Verdades Bíblicas en los tiempos de prueba		7/6/2026	Partor Luis Guerrero	Santiago 1:2-18		CULTO_DOMINICAL	https://www.youtube.com/live/hnMljmYhY44?si=kgcZU_Z7MTvN_sJm",
"Lo que es y lo que no es la fe		14/6/2026	Pastor Luis Guerrero	""Hebreos 11:1","6""		CULTO_DOMINICAL	https://www.youtube.com/live/DxeCB7t6xJU?si=hSZjUOFMRcmKCARc"
"				2 Corintios 12:17			",
"La cercanía con el mundo y la presión social		20/6/2026	Pastor Luis Guerrero	Romanos 12:2		CULTO_JUVENIL	https://www.youtube.com/live/GcFsDVz10gQ?si=AQpPDFN5mUaIr1Qx",
"				Proverbios 12:26			",
"Principios bíblicos para ser un buen padre		21/6/2026	Pastor Luis Guerrero	Santiago 1:1		CULTO_DOMINICAL	https://www.youtube.com/live/NRoEXCTQz9s?si=MzpRjVRbbvmigNCB",
"							",
"							",
"							",
